
ProcessName                     Id Path
-----------                     -- ----
AggregatorHost                8000 
agy                          20548 C:\Users\nguye\AppData\Local\agy\bin\agy.exe
AppActions                   21464 C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\AppActions.exe
ApplicationFrameHost         23416 C:\WINDOWS\system32\ApplicationFrameHost.exe
AppVShNotify                 10512 C:\Program Files\Common Files\Microsoft Shared\ClickToRun\AppVShNotify.exe
ArmouryCrateControlInterface  5404 
ArmouryCrateKeyControl       20248 C:\WINDOWS\System32\ASUSACCI\ArmouryCrateKeyControl.exe
AsusAppService                5364 
AsusOptimization              4204 
AsusOptimizationStartupTask  15292 C:\WINDOWS\System32\DriverStore\FileRepository\asussci2.inf_amd64_ec0a7aca8834d5bc\ASUSOptimization\AsusOptimizationStartupTask.exe
AsusOSD                       5316 
AsusPTPService                5388 
ASUSSmartDisplayControl       7500 C:\Program Files (x86)\ASUS\ASUS Smart Display Control\ASUSSmartDisplayControl.exe
AsusSoftwareManager           5380 
AsusSoftwareManagerAgent      9400 
AsusSwitch                    5396 
AsusSystemAnalysis            5372 
AsusSystemDiagnosis           5356 
AsusWiFiSmartConnect          4328 
audiodg                       9752 
backgroundTaskHost           15968 C:\WINDOWS\system32\backgroundTaskHost.exe
backgroundTaskHost           22732 C:\WINDOWS\system32\backgroundTaskHost.exe
cmd                          13460 C:\WINDOWS\system32\cmd.exe
CNAB4RPD                      6724 
conhost                       7112 
conhost                      17096 C:\WINDOWS\system32\conhost.exe
conhost                       4392 
cowork-svc                    9208 
CrossDeviceResume             4604 C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\CrossDeviceResume.exe
CrossDeviceService           19976 C:\Program Files\WindowsApps\MicrosoftWindows.CrossDevice_1.26072.116.0_x64__cw5n1h2txyewy\CrossDeviceService.exe
csrss                         1156 
csrss                         2980 
ctfmon                       12092 
DataExchangeHost             22824 C:\Windows\System32\DataExchangeHost.exe
Discord                      18632 C:\Users\nguye\AppData\Local\Discord\app-1.0.9258\Discord.exe
Discord                      17012 C:\Users\nguye\AppData\Local\Discord\app-1.0.9258\Discord.exe
Discord                      17064 C:\Users\nguye\AppData\Local\Discord\app-1.0.9258\Discord.exe
Discord                      15392 C:\Users\nguye\AppData\Local\Discord\app-1.0.9258\Discord.exe
Discord                      15604 C:\Users\nguye\AppData\Local\Discord\app-1.0.9258\Discord.exe
Discord                       7472 C:\Users\nguye\AppData\Local\Discord\app-1.0.9258\Discord.exe
DtsApo4Service                5696 
dwm                          12264 
esif_uf                       5580 
explorer                     20560 C:\WINDOWS\Explorer.EXE
FileCoAuth                   16396 C:\Program Files\Microsoft OneDrive\26.163.0823.0004\FileCoAuth.exe
FileSyncHelper                2212 
fontdrvhost                   2000 
fontdrvhost                   1584 
Garena                       13484 C:\Program Files (x86)\Garena\Garena\Garena.exe
GHelper                       1852 C:\Users\nguye\Downloads\GHelper\GHelper.exe
gxxsvc                        3176 
Idle                             0 
igfxCUIServiceN               3920 
