"Algorithm","Hash","Path"
"SHA256","BF3F10DD0E14663751025BD3CC0F85276B035F8E3D826D81F9F9254503C65007","C:\Users\nguye\Downloads\LAB3_Threats_Assets\Evidence\auth_events_before_rotation.txt"
"SHA256","FF3B7557F28564580E2F6EE9979E0096DE2EE77E86B2D3BD6162F97A3BD6D211","C:\Users\nguye\Downloads\LAB3_Threats_Assets\Evidence\autoruns_after.csv"
"SHA256","BE24D297727772FDDDDD010570A3290B31CFCD02FD626D61A4B55A1010F3E5D6","C:\Users\nguye\Downloads\LAB3_Threats_Assets\Evidence\autoruns_before.csv"
"SHA256","F30BC818D9F89B4CF2C3B0B33267E50C29028C20BF669CCC6726D9511C6F486A","C:\Users\nguye\Downloads\LAB3_Threats_Assets\Evidence\autoruns_diff.txt"
"SHA256","010D21E3263839D1CD5D1A5BFC385187490A29B502DC3CE9F4ED6DCC6C815978","C:\Users\nguye\Downloads\LAB3_Threats_Assets\Evidence\baseline_defender.txt"
"SHA256","8301247A025B4F6F93DDD0CD2319616F69F04D4E11277701C464FA547A6B1E44","C:\Users\nguye\Downloads\LAB3_Threats_Assets\Evidence\baseline_firewall.txt"
"SHA256","C2A6B4ACEDE7DF18EEA881D5932DE8A4478E59C15CCC51FDC5BCF5CB5B385765","C:\Users\nguye\Downloads\LAB3_Threats_Assets\Evidence\baseline_network.txt"
"SHA256","FC6903A4866915E809428BC020BFB7ED38696AD3BAC47EA7FD0A94993F78D863","C:\Users\nguye\Downloads\LAB3_Threats_Assets\Evidence\baseline_os.txt"
"SHA256","7F3E55488F7E1F71FD7D44747BA36C75A5F4CDCF72F1FAFAA1F20E183FD5CAA5","C:\Users\nguye\Downloads\LAB3_Threats_Assets\Evidence\baseline_processes.txt"
"SHA256","F159BD8A4665A3441EEAF5AE17AD302E8565EB5A737233B19D9B50F7B8AB5175","C:\Users\nguye\Downloads\LAB3_Threats_Assets\Evidence\ddos_sources.txt"
"SHA256","F33BDF58DA37EC5E08D0F6D63385E235A2F7F184C0E6CCBF418D213FF9C48871","C:\Users\nguye\Downloads\LAB3_Threats_Assets\Evidence\defender_eicar.txt"
"SHA256","2AC3857D45AF385CD8E762A161D6C03487120F007A0471D29C09BC90B85B0801","C:\Users\nguye\Downloads\LAB3_Threats_Assets\Evidence\local_load_test.txt"
"SHA256","E4B1A5101A2D7D27054CB27C43A14801F1517D89AA29D0463FABD138EEEB26A9","C:\Users\nguye\Downloads\LAB3_Threats_Assets\Evidence\mail_sender_counts.txt"
"SHA256","AF27A14C2CF2C50FEB3014FE2B3670E4A4C3F444A44CF1566F34D0F5A5C298AC","C:\Users\nguye\Downloads\LAB3_Threats_Assets\Evidence\mail_volume.txt"
"SHA256","084AD0CCE1C72D173B400E997D03D60F69A603BE19F76E0BECFFB8B7452C7A86","C:\Users\nguye\Downloads\LAB3_Threats_Assets\Evidence\start_time.txt"
"SHA256","A5BF63840E58A6C9CF0D6933A9F328CBA7709CD92CA4A26D13E22D349C9BB9AE","C:\Users\nguye\Downloads\LAB3_Threats_Assets\Evidence\sysmon_persistence.txt"
